seq,region_major,region_minor,level,modifier,name,note
48,빅토리아 아일랜드,빅토리아 아일랜드,34,재생하는,상급 마법책,테마던전 엘리넬
59,빅토리아 아일랜드,빅토리아 아일랜드,36,튼튼한,보라조개 슬라임,테마던전 골드비치
66,빅토리아 아일랜드,빅토리아 아일랜드,41,석화의,불가사리 문어 슬라임,테마던전 골드비치
247,빅토리아 인근 섬,빅토리아 인근 섬,53,마법저항의,지휘관 수상한 물개,리에나 해협
14,빅토리아 아일랜드,빅토리아 아일랜드,55,회피하는,와일드보어,
17,빅토리아 아일랜드,빅토리아 아일랜드,58,튼튼한,파이어보어,
164,빅토리아 아일랜드,빅토리아 아일랜드,59,멈추지 않는,지푸라기 뭉치,테마던전 엘로딘
35,빅토리아 아일랜드,빅토리아 아일랜드,60,끈끈한,우드 마스크,
78,빅토리아 아일랜드,빅토리아 아일랜드,60,튼튼한,버섯 샹들리에,테마던전 버섯의 성
85,빅토리아 아일랜드,빅토리아 아일랜드,64,석화의,근엄한 바이킹,테마던전 버섯의 성
97,빅토리아 아일랜드,슬리피우드,70,석화의,타우로스피어,
341,엘나스 산맥,오르비스,74,혼란의,러스터픽시,
357,엘나스 산맥,엘나스,81,암흑의,화이트팽,
297,에델슈타인,에델슈타인,84,맹독의,강화된 방어 시스템,
561,니할사막,니할사막,90,언데드,스콜피온,
577,니할사막,마가티아,93,재생하는,트리플 루모,
587,니할사막,마가티아,95,봉인의,네오 휴로이드,
432,루더스 호수,루디브리엄,96,맹독의,블록골렘,
585,니할사막,마가티아,97,독을 뿌리는,호문스큘러,"악명이 높은 난이도 최흉의 엘리트몬스터. 단독맵이 없는데 문제는 호문스큘러가 젠당 2마리 등장하며 심지어 소환 주기가 있음. 다만, 호문스큘러가 젠되는 위치가 정해져있어 엘몹 컨트롤이 가능하다고 함. 관련 글은 해당 링크를 참조 ▶ http://www.inven.co.kr/board/maple/2304/14927"
470,루더스 호수,엘린숲,99,회피하는,난폭한 원시멧돼지,
543,아쿠아로드,아쿠아로드,107,끈끈한,본피쉬,
547,아쿠아로드,아쿠아로드,110,재생하는,콜드샤크,
